method,representation,k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,min_cluster_size,max_cluster_size,noise_ratio
K-Means,Qwen embeddings,4,0.379613995552063,1988.8912717123842,1.6472978957843025,4,1032,5136,0.0
K-Means,Qwen embeddings,5,0.4226301908493042,1977.223406282188,1.7314194183522733,5,1032,3153,0.0
K-Means,Qwen embeddings,6,0.484128475189209,2097.266495337425,1.575870111257777,6,1032,2789,0.0
K-Means,Qwen embeddings,7,0.5348262786865234,2157.9800173638187,1.4823458648989278,7,799,1895,0.0
K-Means,Qwen embeddings,8,0.5716660022735596,2327.941307249304,1.3515157603286925,8,799,1824,0.0
K-Means,Qwen embeddings,9,0.6253549456596375,2545.410834845696,1.1296112216017404,9,402,1584,0.0
K-Means,Qwen embeddings,10,0.6526498794555664,2585.9495208114777,0.9890578284743705,10,402,1584,0.0
K-Means,Qwen embeddings,11,0.6201028823852539,2401.540716031969,1.3193501588007825,11,290,1584,0.0
K-Means,Qwen embeddings,12,0.6205546259880066,2491.454903685144,1.2287402818136648,12,223,1373,0.0
K-Means,Qwen embeddings,13,0.6129498481750488,2334.017393117648,1.2932481850307969,13,223,1584,0.0
K-Means,Qwen embeddings,14,0.5617258548736572,2228.4270705520225,1.5275002192679246,14,223,1135,0.0
K-Means,Qwen embeddings,15,0.5463472604751587,2093.7900172492555,1.7064486447927847,15,223,1135,0.0
