method,representation,k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,min_cluster_size,max_cluster_size,noise_ratio,linkage,metric,eps,min_samples
K-Means,Qwen embeddings,4.0,0.379613995552063,1988.8912717123842,1.6472978957843025,4,1032,5136,0.0,,,,
K-Means,Qwen embeddings,5.0,0.4226301908493042,1977.223406282188,1.7314194183522733,5,1032,3153,0.0,,,,
K-Means,Qwen embeddings,6.0,0.484128475189209,2097.266495337425,1.575870111257777,6,1032,2789,0.0,,,,
K-Means,Qwen embeddings,7.0,0.5348262786865234,2157.9800173638187,1.4823458648989278,7,799,1895,0.0,,,,
K-Means,Qwen embeddings,8.0,0.5716660022735596,2327.941307249304,1.3515157603286925,8,799,1824,0.0,,,,
K-Means,Qwen embeddings,9.0,0.6253549456596375,2545.410834845696,1.1296112216017404,9,402,1584,0.0,,,,
K-Means,Qwen embeddings,10.0,0.6526498794555664,2585.9495208114777,0.9890578284743705,10,402,1584,0.0,,,,
K-Means,Qwen embeddings,11.0,0.6201028823852539,2401.540716031969,1.3193501588007825,11,290,1584,0.0,,,,
K-Means,Qwen embeddings,12.0,0.6205546259880066,2491.454903685144,1.2287402818136648,12,223,1373,0.0,,,,
K-Means,Qwen embeddings,13.0,0.6129498481750488,2334.017393117648,1.2932481850307969,13,223,1584,0.0,,,,
K-Means,Qwen embeddings,14.0,0.5617258548736572,2228.4270705520225,1.5275002192679246,14,223,1135,0.0,,,,
K-Means,Qwen embeddings,15.0,0.5463472604751587,2093.7900172492555,1.7064486447927847,15,223,1135,0.0,,,,
Agglomerative,Qwen embeddings method-sample,,0.40607815980911255,1026.2324664928353,1.333266540639276,4,537,3190,0.0,ward,euclidean,,
Agglomerative,Qwen embeddings method-sample,,0.37457939982414246,680.7342871928195,1.0789490073142531,4,1,3770,0.0,average,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.3216330111026764,711.510661472155,1.8613256577933888,4,424,2450,0.0,complete,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.4154052138328552,1041.894522960333,1.5628457580536177,5,537,2341,0.0,ward,euclidean,,
Agglomerative,Qwen embeddings method-sample,,0.4008052349090576,642.509989935924,1.077270846702004,5,1,3557,0.0,average,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.3469100296497345,725.1312106534083,1.7124976562861742,5,424,2450,0.0,complete,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.4830470085144043,1086.8508652916685,1.5843378015471776,6,537,1447,0.0,ward,euclidean,,
Agglomerative,Qwen embeddings method-sample,,0.40568119287490845,584.5117999929444,1.0928269572599496,6,1,3431,0.0,average,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.4225679337978363,819.3400837862046,1.6137425171610573,6,424,1408,0.0,complete,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.5359575152397156,1141.3312654167225,1.4171064445748107,7,424,1447,0.0,ward,euclidean,,
Agglomerative,Qwen embeddings method-sample,,0.4643128514289856,712.9582274283656,1.1568507635583098,7,1,2849,0.0,average,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.4630473256111145,841.6989529904864,1.3951578483237388,7,213,1195,0.0,complete,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.5874497294425964,1207.878573911322,1.3010498910586814,8,424,849,0.0,ward,euclidean,,
Agglomerative,Qwen embeddings method-sample,,0.4541637599468231,611.799240619636,1.1046259459549166,8,1,2849,0.0,average,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.4631609320640564,722.2931050226987,1.2911265820412343,8,1,1195,0.0,complete,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.6198435425758362,1299.6031172941796,1.1384412637934198,9,213,849,0.0,ward,euclidean,,
Agglomerative,Qwen embeddings method-sample,,0.4852750897407532,684.7460687097101,1.1364678825957126,9,1,2425,0.0,average,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.5447001457214355,925.2352539002973,1.2170031297563912,9,1,1195,0.0,complete,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.632530689239502,1342.0773571477193,1.0583072421221633,10,213,849,0.0,ward,euclidean,,
Agglomerative,Qwen embeddings method-sample,,0.5271546840667725,777.4147037176988,1.1286685857671734,10,1,1955,0.0,average,cosine,,
Agglomerative,Qwen embeddings method-sample,,0.5599852204322815,916.2552694406002,1.1471036203414893,10,1,1195,0.0,complete,cosine,,
